QALD id,match status,QALD question,QueGG question,TP,FP,FN,QALD SPARQL query,QueGG SPARQL query,TP,FP,FN,Precision,Recall,F-Measure
10,0.828571428571429,Who was married to president Chirac?,"""Who was married to Jacques Chirac?""",1,0,0,"PREFIX dbo: <http://dbpedia.org/ontology/> 
PREFIX res: <http://dbpedia.org/resource/> 
SELECT DISTINCT ?uri
WHERE { 
         res:Jacques_Chirac dbo:spouse ?uri .
}","select  ?s    

{

   ?s <http://dbpedia.org/ontology/spouse>  <http://dbpedia.org/resource/Jacques_Chirac> .    

}",1,0,0,1,1,1
11,1,What did Bruce Carver die from?,"""What did Bruce Carver die from?""",1,0,0,"PREFIX res: <http://dbpedia.org/resource/>
PREFIX dbo: <http://dbpedia.org/ontology/>
SELECT DISTINCT ?uri
WHERE {
        res:Bruce_Carver dbo:deathCause ?uri .     
}","select  ?o    

{

    <http://dbpedia.org/resource/Bruce_Carver> <http://dbpedia.org/ontology/deathCause>  ?o .    

}",1,0,0,1,1,1
12,1,Who painted The Storm on the Sea of Galilee?,"""Who painted The Storm on the Sea of Galilee?""",1,0,0,"PREFIX dbp: <http://dbpedia.org/property/>
PREFIX res: <http://dbpedia.org/resource/>
SELECT DISTINCT ?uri 
WHERE {
	res:The_Storm_on_the_Sea_of_Galilee dbp:artist ?uri .
}","select  ?o    

{

    <http://dbpedia.org/resource/The_Storm_on_the_Sea_of_Galilee> <http://dbpedia.org/property/artist>  ?o .    

}",1,0,0,1,1,1
13,0.948717948717949,Which cities does the Weser flow through?,"""which cities does Weser flow through?""",7,0,0,SELECT DISTINCT ?uri WHERE {  <http://dbpedia.org/resource/Weser> <http://dbpedia.org/ontology/city> ?uri . } ,"select  ?o    

{

    <http://dbpedia.org/resource/Weser> <http://dbpedia.org/ontology/city>  ?o .    

}",7,0,0,1,1,1
14,0.981481481481482,How many seats does the home stadium of FC Porto have?,"""How many seat does the home stadium of FC Porto? have?""",0,1,1,SELECT DISTINCT ?n WHERE { <http://dbpedia.org/resource/FC_Porto> <http://dbpedia.org/ontology/ground> ?x . ?x <http://dbpedia.org/ontology/seatingCapacity> ?n . } ,"SELECT DISTINCT ?objOfProp WHERE 

{

    ?subjOfProp <http://dbpedia.org/ontology/seatingCapacity> ?objOfProp .   <http://dbpedia.org/resource/FC_Porto> <http://dbpedia.org/ontology/ground> ?subjOfProp .

}",0,1,1,0,0,0
15,0.923076923076923,Who is the daughter of Robert Kennedy married to?,"""Who was the daughter of  Robert F. Kennedy? married to?""",1,0,0,SELECT DISTINCT ?uri WHERE {  <http://dbpedia.org/resource/Robert_F._Kennedy> <http://dbpedia.org/ontology/child> ?child .  ?child <http://dbpedia.org/ontology/spouse> ?uri . } ,"SELECT DISTINCT ?subjOfProp WHERE 

{

    ?subjOfProp <http://dbpedia.org/ontology/spouse> ?objOfProp .   <http://dbpedia.org/resource/Robert_F._Kennedy> <http://dbpedia.org/ontology/child> ?objOfProp .

}",1,0,0,1,1,1
16,0.88659793814433,Which books by Kerouac were published by Viking Press?,"""which books were published by Viking Press?""",4,457,25,SELECT DISTINCT ?uri WHERE {  ?uri <http://www.w3.org/1999/02/22-rdf-syntax-ns#type> <http://dbpedia.org/ontology/Book> .  ?uri <http://dbpedia.org/ontology/publisher> <http://dbpedia.org/resource/Viking_Press> .  ?uri <http://dbpedia.org/ontology/author> <http://dbpedia.org/resource/Jack_Kerouac> . } ,"select  ?s    

{

   ?s <http://dbpedia.org/ontology/publisher>  <http://dbpedia.org/resource/Viking_Press> .    

}",4,457,25,0.00867679,0.13793103,0.016326532
17,1,How tall is Amazon Eve?,"""How tall is Amazon Eve?""",1,0,0,SELECT DISTINCT ?height WHERE {  <http://dbpedia.org/resource/Amazon_Eve> <http://dbpedia.org/ontology/height> ?height . } ,"select  ?o    

{

    <http://dbpedia.org/resource/Amazon_Eve> <http://dbpedia.org/ontology/height>  ?o .    

}",1,0,0,1,1,1
18,0.88,Which museum exhibits The Scream by Munch?,"""which museum exhibits The Scream?""",1,0,0,"PREFIX dbo: <http://dbpedia.org/ontology/>
PREFIX res: <http://dbpedia.org/resource/>
SELECT DISTINCT ?uri
WHERE {
       res:The_Scream dbo:museum ?uri .
}","select  ?o    

{

    <http://dbpedia.org/resource/The_Scream> <http://dbpedia.org/ontology/museum>  ?o .    

}",1,0,0,1,1,1
19,0,Who wrote the book Les Piliers de la terre?,,0,1,1,"PREFIX dbo: <http://dbpedia.org/ontology/>
PREFIX res: <http://dbpedia.org/resource/>
SELECT DISTINCT ?uri 
WHERE {
	res:The_Pillars_of_the_Earth dbo:author ?uri .
}",,0,1,1,0,0,0
20,0.808510638297872,Is James Bond married?,"""Whom is James Bond marry?""",0,1,1,"PREFIX dbo: <http://dbpedia.org/ontology/>
PREFIX res: <http://dbpedia.org/resource/>
ASK 
WHERE {
        res:James_Bond dbo:spouse ?uri . 
}","select  ?o    

{

    <http://dbpedia.org/resource/James_Bond> <http://dbpedia.org/ontology/spouse>  ?o .    

}",0,1,1,0,0,0
21,1,Who discovered Ceres?,"""Who discovered Ceres?""",1,0,0,SELECT DISTINCT ?uri WHERE { <http://dbpedia.org/resource/Ceres_(dwarf_planet)> <http://dbpedia.org/ontology/discoverer> ?uri . },"select  ?o    

{

    <http://dbpedia.org/resource/Ceres_(dwarf_planet)> <http://dbpedia.org/ontology/discoverer>  ?o .    

}",1,0,0,1,1,1
22,0.951219512195122,Which river does the Brooklyn Bridge cross?,"""which river does Brooklyn Bridge cross?""",1,0,0,"PREFIX dbo: <http://dbpedia.org/ontology/>
PREFIX res: <http://dbpedia.org/resource/>
SELECT DISTINCT ?uri
WHERE {       
        res:Brooklyn_Bridge dbo:crosses ?uri . 
}","select  ?o    

{

    <http://dbpedia.org/resource/Brooklyn_Bridge> <http://dbpedia.org/ontology/crosses>  ?o .    

}",1,0,0,1,1,1
23,0.785714285714286,Who was called Frank The Tank?,"""Who was called  The Tiger?""",0,6,1,"PREFIX dbp: <http://dbpedia.org/property/> 
SELECT DISTINCT ?uri 
WHERE { 
        ?uri dbp:nickname 'Frank The Tank'@en . 
}","select  ?s    

{

   ?s <http://dbpedia.org/property/nickname>  'The Tiger'@en .    

}",0,6,1,0,0,0
24,1,What is the largest country in the world?,"""What is the largest country in the World?""",0,1,1,SELECT DISTINCT ?uri WHERE { ?uri a <http://dbpedia.org/ontology/Country> . ?uri <http://dbpedia.org/ontology/areaTotal> ?n . } ORDER BY DESC(?n) OFFSET 0 LIMIT 1,"SELECT DISTINCT ?subjOfProp WHERE 

{

 ?subjOfProp <http://www.w3.org/1999/02/22-rdf-syntax-ns#type> <http://dbpedia.org/ontology/Country> . ?subjOfProp <http://dbpedia.org/ontology/areaTotal> ?num . 

} ORDER BY DESC(?num) LIMIT 1",0,1,1,0,0,0
25,1,Who is the mayor of Paris?,"""Who is the mayor of Paris?""",0,1,1,SELECT DISTINCT ?uri WHERE { <http://dbpedia.org/resource/Paris> <http://dbpedia.org/ontology/mayor> ?uri . },"select  ?o    

{

    <http://dbpedia.org/resource/Paris> <http://dbpedia.org/ontology/leaderName>  ?o .    

}",0,1,1,0,0,0
26,0.783505154639175,Who is the coach of Ankara's ice hockey team?,"""Who is the coach of Turkish Ice Hockey First League?""",0,1,1,SELECT DISTINCT ?uri WHERE { ?x <http://dbpedia.org/ontology/city> <http://dbpedia.org/resource/Ankara> . ?x <http://dbpedia.org/ontology/league> <http://dbpedia.org/resource/Turkish_Ice_Hockey_First_League> . ?x <http://dbpedia.org/ontology/coach> ?uri . },"select  ?o    

{

    <http://dbpedia.org/resource/Turkish_Ice_Hockey_First_League> <http://dbpedia.org/ontology/coach>  ?o .    

}",0,1,1,0,0,0
27,0.99047619047619,Who is the mayor of the capital of French Polynesia?,"""Who is the mayor of the capital of French Polynesia??""",1,0,0,"PREFIX dbo: <http://dbpedia.org/ontology/>
PREFIX res: <http://dbpedia.org/resource/>
SELECT DISTINCT ?uri 
WHERE { 
        res:French_Polynesia dbo:capital ?x .
        ?x dbo:mayor ?uri .
}","SELECT DISTINCT ?objOfProp WHERE 

{

    ?subjOfProp <http://dbpedia.org/ontology/mayor> ?objOfProp .   <http://dbpedia.org/resource/French_Polynesia> <http://dbpedia.org/ontology/capital> ?subjOfProp .

}",1,0,0,1,1,1
28,1,Which awards did Douglas Hofstadter win?,"""which awards did Douglas Hofstadter win?""",3,0,0,"PREFIX res: <http://dbpedia.org/resource/>
PREFIX dbo: <http://dbpedia.org/ontology/>
SELECT DISTINCT ?uri
WHERE {
        res:Douglas_Hofstadter dbo:award ?uri .
}","select  ?o    

{

    <http://dbpedia.org/resource/Douglas_Hofstadter> <http://dbpedia.org/ontology/award>  ?o .    

}",3,0,0,1,1,1
29,1,How much did the Lego Movie cost?,"""How much did The Lego Movie cost?""",1,0,0,SELECT DISTINCT ?n WHERE { <http://dbpedia.org/resource/The_Lego_Movie> <http://dbpedia.org/ontology/budget> ?n . } ,"select  ?o    

{

    <http://dbpedia.org/resource/The_Lego_Movie> <http://dbpedia.org/ontology/budget>  ?o .    

}",1,0,0,1,1,1
30,1,Where does Piccadilly start?,"""Where does Piccadilly start?""",1,0,0,SELECT DISTINCT ?uri WHERE { ?uri <http://dbpedia.org/ontology/routeStart> <http://dbpedia.org/resource/Piccadilly>. } ,"select  ?s    

{

   ?s <http://dbpedia.org/ontology/routeStart>  <http://dbpedia.org/resource/Piccadilly> .    

}",1,0,0,1,1,1
31,0,Do Prince Harry and Prince William have the same parents?,,0,1,1,"PREFIX dbo: <http://dbpedia.org/ontology/> 
ASK
WHERE { 
        <http://dbpedia.org/resource/Prince_William,_Duke_of_Cambridge> dbo:parent ?x . 
        <http://dbpedia.org/resource/Prince_Harry> dbo:parent ?x .
}",,0,1,1,0,0,0
32,0.821428571428571,Who played Agent Smith in Matrix?,"""Who played Agent Smith?""",2,0,0,"PREFIX dbp: <http://dbpedia.org/property/>
PREFIX res: <http://dbpedia.org/resource/>
SELECT DISTINCT ?uri
WHERE { 
        res:Agent_Smith dbp:portrayer ?uri . 
}","select  ?o    

{

    <http://dbpedia.org/resource/Agent_Smith> <http://dbpedia.org/property/portrayer>  ?o .    

}",2,0,0,1,1,1
33,1,How many languages are spoken in Turkmenistan?,"""How many languages are spoken in Turkmenistan?""",1,0,0,SELECT (COUNT(DISTINCT ?x) as ?c) WHERE {  <http://dbpedia.org/resource/Turkmenistan> <http://dbpedia.org/ontology/language> ?x . } ,"select (COUNT(DISTINCT ?objOfProp) as ?c) WHERE    

{

    <http://dbpedia.org/resource/Turkmenistan> <http://dbpedia.org/ontology/language>  ?objOfProp .    

}",1,0,0,1,1,1
34,0.708333333333333,In which films did Julia Roberts as well as Richard Gere play?,"""which film did Julia Roberts play?""",39,0,0,SELECT DISTINCT ?uri WHERE {  ?uri <http://www.w3.org/1999/02/22-rdf-syntax-ns#type> <http://dbpedia.org/ontology/Film> .  ?uri <http://dbpedia.org/ontology/starring> <http://dbpedia.org/resource/Julia_Roberts> .  ?uri <http://dbpedia.org/ontology/starring> <http://dbpedia.org/resource/Richard_Gere> . } ,"select  ?s    

{

   ?s <http://dbpedia.org/ontology/starring>  <http://dbpedia.org/resource/Julia_Roberts> .   ?s <http://www.w3.org/1999/02/22-rdf-syntax-ns#type>  <http://dbpedia.org/ontology/Film> .    

}",39,0,0,1,1,1
35,0.945945945945946,In which country does the Ganges start?,"""in which country does Ganges start?""",0,1,1,"PREFIX dbo: <http://dbpedia.org/ontology/> 
PREFIX res: <http://dbpedia.org/resource/> 
SELECT DISTINCT ?uri 
WHERE { 
        res:Ganges dbo:sourceCountry ?uri .
}","select  ?o    

{

    <http://dbpedia.org/resource/Ganges> <http://dbpedia.org/property/mouthLocation>  ?o .    

}",0,1,1,0,0,0
36,1,In which year was Rachel Stevens born?,"""in which year was Rachel Stevens born?""",1,0,0,SELECT DISTINCT ?uri WHERE {  <http://dbpedia.org/resource/Rachel_Stevens> <http://dbpedia.org/ontology/birthYear> ?uri . } ,"select  ?o    

{

    <http://dbpedia.org/resource/Rachel_Stevens> <http://dbpedia.org/ontology/birthYear>  ?o .    

}",1,0,0,1,1,1
37,0.711864406779661,Is Barack Obama a democrat?,"""Who is Barack Obama 's daughter?""",0,1,1,"PREFIX dbo: <http://dbpedia.org/ontology/>
PREFIX res: <http://dbpedia.org/resource/>
ASK
WHERE { 
        res:Barack_Obama dbo:party <http://dbpedia.org/resource/Democratic_Party_(United_States)> . 
}","select  ?o    

{

    <http://dbpedia.org/resource/Barack_Obama> <http://dbpedia.org/ontology/child>  ?o .    

}",0,1,1,0,0,0
38,0.9,Where was Bach born?,"""Where was Cher born?""",0,1,1,"PREFIX dbo: <http://dbpedia.org/ontology/>
PREFIX res: <http://dbpedia.org/resource/>
SELECT DISTINCT ?uri 
WHERE {
        res:Johann_Sebastian_Bach dbo:birthPlace ?uri .
}","select  ?o    

{

    <http://dbpedia.org/resource/Cher> <http://dbpedia.org/ontology/birthPlace>  ?o .    

}",0,1,1,0,0,0
39,1,How often did Jane Fonda marry?,"""How often did Jane Fonda marry?""",1,0,0,SELECT (COUNT(DISTINCT ?uri) as ?c) WHERE {  <http://dbpedia.org/resource/Jane_Fonda> <http://dbpedia.org/ontology/spouse> ?uri . } ,"select (COUNT(DISTINCT ?objOfProp) as ?c) WHERE    

{

    <http://dbpedia.org/resource/Jane_Fonda> <http://dbpedia.org/ontology/spouse>  ?objOfProp .    

}",1,0,0,1,1,1
40,0.987951807228916,Who was the first to climb Mount Everest?,"""Who was the first to climb  Mount Everest?""",4,0,0,"PREFIX res: <http://dbpedia.org/resource/>
PREFIX dbo: <http://dbpedia.org/ontology/>
SELECT DISTINCT ?uri
WHERE {
          res:Mount_Everest dbo:firstAscentPerson ?uri . 
}","select  ?o    

{

    <http://dbpedia.org/resource/Mount_Everest> <http://dbpedia.org/ontology/firstAscentPerson>  ?o .    

}",4,0,0,1,1,1
41,1,How many people live in Poland?,"""How many People live in Poland?""",1,0,0,SELECT DISTINCT ?uri WHERE { <http://dbpedia.org/resource/Poland> <http://dbpedia.org/ontology/populationTotal> ?uri . }  ,"select  ?o    

{

    <http://dbpedia.org/resource/Poland> <http://dbpedia.org/ontology/populationTotal>  ?o .    

}",1,0,0,1,1,1
42,0.759493670886076,What is the location of the Houses of Parliament?,"""What is the location of Spain?""",0,1,3,SELECT ?uri WHERE {  <http://dbpedia.org/resource/Palace_of_Westminster> <http://dbpedia.org/ontology/location> ?uri . } ,"select  ?o    

{

    <http://dbpedia.org/resource/Spain> <http://dbpedia.org/ontology/location>  ?o .    

}",0,1,3,0,0,0
43,0.740740740740741,Is Christian Bale starring in Batman Begins?,"""which person starrs in Batman Begins?""",0,8,1,"PREFIX dbo: <http://dbpedia.org/ontology/>
PREFIX res: <http://dbpedia.org/resource/>
ASK 
WHERE {
	res:Batman_Begins dbo:starring res:Christian_Bale .
}","select  ?o    

{

    <http://dbpedia.org/resource/Batman_Begins> <http://dbpedia.org/ontology/starring>  ?o .    

}",0,8,1,0,0,0
44,1,In which country is the Limerick Lake?,"""in which country is the Limerick Lake?""",1,0,0,"PREFIX dbo: <http://dbpedia.org/ontology/>
PREFIX res: <http://dbpedia.org/resource/>
SELECT DISTINCT ?uri 
WHERE { 
	res:Limerick_Lake dbo:country ?uri .
}","select  ?o    

{

    <http://dbpedia.org/resource/Limerick_Lake> <http://dbpedia.org/ontology/country>  ?o .    

}",1,0,0,1,1,1
45,0.785714285714286,What was the last movie with Alec Guinness?,"""What was the death date of Alec Guinness?""",0,1,1,SELECT DISTINCT ?uri WHERE {  ?uri <http://www.w3.org/1999/02/22-rdf-syntax-ns#type> <http://dbpedia.org/ontology/Film> .  ?uri <http://dbpedia.org/ontology/starring> <http://dbpedia.org/resource/Alec_Guinness> .  ?uri <http://dbpedia.org/ontology/releaseDate> ?date . } ORDER BY DESC(?date) LIMIT 1 ,"select  ?o    

{

    <http://dbpedia.org/resource/Alec_Guinness> <http://dbpedia.org/ontology/deathDate>  ?o .    

}",0,1,1,0,0,0
46,1,What is the highest mountain in Australia?,"""What is the highest mountain in Australia?""",1,0,0,"PREFIX dbo: <http://dbpedia.org/ontology/>
PREFIX res: <http://dbpedia.org/resource/>
PREFIX rdf: <http://www.w3.org/1999/02/22-rdf-syntax-ns#>
SELECT DISTINCT ?uri 
WHERE {
	?uri rdf:type dbo:Mountain .
        ?uri dbo:locatedInArea res:Australia .
        ?uri dbo:elevation ?elevation .
} 
ORDER BY DESC(?elevation) LIMIT 1","SELECT DISTINCT ?subjOfProp WHERE 

{

 ?subjOfProp <http://www.w3.org/1999/02/22-rdf-syntax-ns#type> <http://dbpedia.org/ontology/Mountain> . ?subjOfProp <http://dbpedia.org/ontology/locatedInArea> <http://dbpedia.org/resource/Australia> . ?subjOfProp <http://dbpedia.org/ontology/elevation> ?num . 

} ORDER BY DESC(?num) LIMIT 1",1,0,0,1,1,1
47,0.758620689655172,Is Frank Herbert still alive?,"""Where is Frank Herbert lived?""",0,1,1,"PREFIX dbo: <http://dbpedia.org/ontology/>
PREFIX res: <http://dbpedia.org/resource/>
ASK 
WHERE {
	OPTIONAL { res:Frank_Herbert dbo:deathDate ?date . }
        FILTER (!BOUND(?date))
}","select  ?o    

{

    <http://dbpedia.org/resource/Frank_Herbert> <http://dbpedia.org/ontology/residence>  ?o .   ?o <http://www.w3.org/1999/02/22-rdf-syntax-ns#type>  <http://dbpedia.org/ontology/City> .    

}",0,1,1,0,0,0
48,1,Who created Family Guy?,"""Who created Family Guy?""",1,0,0,SELECT DISTINCT ?uri WHERE { <http://dbpedia.org/resource/Family_Guy> <http://dbpedia.org/ontology/creator> ?uri . }  ,"select  ?o    

{

    <http://dbpedia.org/resource/Family_Guy> <http://dbpedia.org/ontology/creator>  ?o .    

}",1,0,0,1,1,1
49,1,What is the official language of Suriname?,"""What is the official language of Suriname?""",1,0,0,"PREFIX dbo: <http://dbpedia.org/ontology/>
PREFIX res: <http://dbpedia.org/resource/>
SELECT DISTINCT ?uri
WHERE { 
        res:Suriname dbo:officialLanguage ?uri .
}","select  ?o    

{

    <http://dbpedia.org/resource/Suriname> <http://dbpedia.org/ontology/officialLanguage>  ?o .    

}",1,0,0,1,1,1
50,0.857142857142857,Who wrote the song Hotel California?,"""Who wrote Hotel California?""",3,0,0,SELECT DISTINCT ?uri WHERE { <http://dbpedia.org/resource/Hotel_California> <http://dbpedia.org/ontology/writer> ?uri . },"select  ?o    

{

    <http://dbpedia.org/resource/Hotel_California> <http://dbpedia.org/ontology/writer>  ?o .    

}",3,0,0,1,1,1
51,0.767857142857143,Give me all actors starring in movies directed by William Shatner.,"""Give me all films directed by William Shatner?""",0,4,18,SELECT DISTINCT ?uri WHERE {  ?x <http://dbpedia.org/ontology/director> <http://dbpedia.org/resource/William_Shatner> .  ?x <http://dbpedia.org/ontology/starring> ?uri . } ,"select  ?s    

{

   ?s <http://dbpedia.org/ontology/director>  <http://dbpedia.org/resource/William_Shatner> .   ?s <http://www.w3.org/1999/02/22-rdf-syntax-ns#type>  <http://dbpedia.org/ontology/Film> .    

}",0,4,18,0,0,0
52,0.819277108433735,What is in a chocolate chip cookie?,"""What is the ingredient of Chocolate chip cookie?""",10,0,0,SELECT DISTINCT ?uri WHERE { <http://dbpedia.org/resource/Chocolate_chip_cookie> <http://dbpedia.org/ontology/ingredient> ?uri . },"select  ?o    

{

    <http://dbpedia.org/resource/Chocolate_chip_cookie> <http://dbpedia.org/ontology/ingredient>  ?o .    

}",10,0,0,1,1,1
53,0,Give me all professional skateboarders from Sweden.,,0,1,2,"PREFIX dbo: <http://dbpedia.org/ontology/>
PREFIX dbp: <http://dbpedia.org/property/>
PREFIX res: <http://dbpedia.org/resource/>
SELECT DISTINCT ?uri 
WHERE {
	?uri dbo:occupation res:Skateboarding . 
        { ?uri dbo:birthPlace res:Sweden . }
        UNION
        { ?uri dbo:birthPlace ?place . 
          ?place dbo:country res:Sweden . }
}",,0,1,2,0,0,0
54,0.773333333333333,Which ingredients do I need for carrot cake?,"""the ingredients of Carrot cake?""",9,0,0,SELECT DISTINCT ?uri WHERE {  <http://dbpedia.org/resource/Carrot_cake> <http://dbpedia.org/ontology/ingredient> ?uri . } ,"select  ?o    

{

    <http://dbpedia.org/resource/Carrot_cake> <http://dbpedia.org/ontology/ingredient>  ?o .    

}",9,0,0,1,1,1
55,0,Does Neymar play for Real Madrid?,,0,1,1,ASK WHERE { <http://dbpedia.org/resource/Neymar> <http://dbpedia.org/ontology/team> <http://dbpedia.org/resource/Real_Madrid_C.F.> . },,0,1,1,0,0,0
56,0,Which computer scientist won an oscar?,,1,0,0,"SELECT DISTINCT ?uri WHERE { { ?uri <http://dbpedia.org/ontology/field> <http://dbpedia.org/resource/Computer_science> . } UNION { ?uri <http://purl.org/dc/elements/1.1/description> ?s . FILTER regex(?s,'computer scientist','i') } ?uri <http://dbpedia.org/ontology/award> <http://dbpedia.org/resource/Academy_Awards> . } ",,1,0,0,1,1,1
57,0.712871287128713,How many companies were founded in the same year as Google?,"""How many Companies are produced by Google?""",0,1,1,SELECT (COUNT(DISTINCT ?uri) as ?c) WHERE {  ?uri <http://www.w3.org/1999/02/22-rdf-syntax-ns#type> <http://dbpedia.org/ontology/Company> .  ?uri <http://dbpedia.org/ontology/foundingYear> ?year .  <http://dbpedia.org/resource/Google> <http://dbpedia.org/ontology/foundingYear> ?year . } ,"select  (COUNT(DISTINCT ?subjOfProp) as ?c) WHERE    

{

   ?subjOfProp <http://dbpedia.org/ontology/product>  <http://dbpedia.org/resource/Google> .    

}",0,1,1,0,0,0
58,0.702127659574468,In which UK city are the headquarters of the MI6?,"""in which city did the creators of Cher? live?""",0,1,3,"PREFIX res: <http://dbpedia.org/resource/> 
PREFIX dbo: <http://dbpedia.org/ontology/> 
PREFIX rdf: <http://www.w3.org/1999/02/22-rdf-syntax-ns#>
SELECT DISTINCT ?uri 
WHERE { 
        res:Secret_Intelligence_Service dbo:headquarter ?uri . 
        ?uri dbo:country res:United_Kingdom . 
}","SELECT DISTINCT ?objOfProp WHERE 

{

    ?subjOfProp <http://dbpedia.org/ontology/residence> ?objOfProp .   <http://dbpedia.org/resource/Cher> <http://dbpedia.org/ontology/creator> ?subjOfProp .

}",0,1,3,0,0,0
59,0,Was the Cuban Missile Crisis earlier than the Bay of Pigs Invasion?,,0,1,1,"PREFIX dbo: <http://dbpedia.org/ontology/>
PREFIX res: <http://dbpedia.org/resource/>
ASK 
WHERE {
        res:Cuban_Missile_Crisis dbo:date ?x .
	res:Bay_of_Pigs_Invasion dbo:date ?y .
	FILTER (?x < ?y)
}",,0,1,1,0,0,0
60,1,What does IYCM stand for?,"""What does IYCM stand for?""",1,0,0,"PREFIX dbo: <http://dbpedia.org/ontology/>
PREFIX res: <http://dbpedia.org/resource/>
SELECT DISTINCT ?uri
WHERE {
        ?uri dbo:abbreviation 'IYCM' .
}","select  ?s    

{

   ?s <http://dbpedia.org/ontology/abbreviation>  'IYCM'    

}",1,0,0,1,1,1
